Reference	ID	Tags	SupportReference	Quote	Occurrence	Note
1:intro	fa8i				0	# Nahum 1 Chapter Introduction\n\n## Structure and Formatting\n\nSome translations prefer to set apart extended quotations, prayers and songs. The ULT and many other English translations set the lines of the entire book (except for [verse 1](../01/01.md) of this chapter) farther to the right on the page than regular text to show that they are poetic prophecy. (See: [[rc://*/tw/dict/bible/kt/prophet]])\n\nDespite being divided into three chapters, this book consists of one long prophecy.\n\n### Outline of chapter 1\n\n1. Nahum introduces this book ([1:1](../01/01.md))\n1. Yahweh will destroy his enemies ([1:2–6](../01/02.md))\n1. Yahweh cares for his people and will destroy Nineveh ([1:7–15](../01/07.md))\n\n## Religious and Cultural Concepts in This Chapter\n\n### Yahweh’s anger against Nineveh\n\nThis prophecy should be read in reference to the book of Jonah. That book described how the people of Nineveh, Assyria’s capital city, repented when Jonah warned them that Yahweh was angry with them. The book of Nahum, written a little over one hundred years later than the book of Jonah, indicates that the Ninevites had returned to their evil ways and would soon be punished by God. Reading the two books together shows God’s mercy and patience and also his anger and judgment for cruelty, evil, and sin.\n\n### Complete destruction\n\nAt the time of Nahum’s prophecy, Assyria controlled almost the entire Near East. The Assyrians were terribly violent and cruel to the peoples that they conquered, including Israel. Because of this, Nahum prophesied that the Assyrians would be completely destroyed as a nation and as a people ([1:14](../01/14.md)). This prophecy came true very suddenly in 612 B.C.\n\n## Translation Issues in This Chapter\n\n### Direct Address\n\nThe audience for this book is the people of Judah. They are in danger of attack by the cruel and powerful nation of Assyria, represented in this book by its capital, Nineveh. This chapter begins by describing Yahweh’s anger at his enemies and his love for his people. Then Yahweh begins to address Nineveh directly in [verse 9](../01/09.md) and continues to do so in various places throughout the book. The people of Nineveh are not part of the audience of this book, however. The address to Nineveh is intended to show the people of Judah Yahweh’s attitude toward the people of Nineveh and their evil actions. This direct address is also to let the people of Judah know that Yahweh will destroy Nineveh. Yahweh also addresses Judah directly in [verses 12](../01/12.md), [13](../01/13.md), and [15](../01/15.md).
1:1	ab12		rc://*/ta/man/translate/figs-metaphor	מַשָּׂ֖א	1	The author is speaking of a message as though it were a **burden**, that is, a heavy load to carry. If it would be helpful in your language, you could state the meaning plainly. Alternate translation: [The pronouncement about]
1:1	ab34		rc://*/ta/man/translate/translate-unknown	הָ⁠אֶלְקֹשִֽׁי	1	An **Elkoshite** is someone from a place called Elkosh. If your readers would not be familiar with this place, you could use a more general term. Alternate translation: [who lived at Elkosh]
1:2	ab56		rc://*/ta/man/translate/figs-abstractnouns	נֹקֵ֤ם & לְ⁠צָרָ֔י⁠ו	1	If your language does not use an abstract noun for the idea of **vengeance**, you could express the same idea in another way. Alternate translation: [avenges himself on his adversaries]
1:2	as2o		rc://*/ta/man/translate/figs-parallelism	אֵ֣ל קַנּ֤וֹא וְ⁠נֹקֵם֙ יְהוָ֔ה נֹקֵ֥ם יְהוָ֖ה וּ⁠בַ֣עַל חֵמָ֑ה	1	These two phrases mean basically the same thing. The second emphasizes the meaning of the first by repeating the same idea with different words. Hebrew poetry was based on this kind of repetition, and it would be good to show this to your readers by including both phrases in your translation rather than combining them. However, if it would be helpful to your readers, you could connect the phrases in a way that shows that the second phrase is repeating the first one, not saying something additional. Alternate translation: [Yahweh is a jealous and avenging God; yes, Yahweh is an avenger and master of wrath]
1:2	ulof		rc://*/ta/man/translate/figs-idiom	וּ⁠בַ֣עַל חֵמָ֑ה	1	Here, **master of wrath** is an expression that means that Yahweh is extremely angry. If this phrase does not have that meaning in your language, use a comparable expression from your language that does have that meaning, or state the meaning plainly. Alternate translation: [and wrathful beyond human ability] or [and is supremely angry]
1:2	x6g7		rc://*/ta/man/translate/figs-parallelism	נֹקֵ֤ם יְהוָה֙ לְ⁠צָרָ֔י⁠ו וְ⁠נוֹטֵ֥ר ה֖וּא לְ⁠אֹיְבָֽי⁠ו	1	These two phrases mean basically the same thing. The second emphasizes the meaning of the first by repeating the same idea with different words. Hebrew poetry was based on this kind of repetition, and it would be good to show this to your readers by including both phrases in your translation rather than combining them. However, if it would be helpful to your readers, you could connect the phrases with a word other than **and** in order to show that the second phrase is repeating the first one, not saying something additional. Alternate translation: [Yahweh takes vengeance on his adversaries, indeed, he maintains against his enemies]
1:2	ab78		rc://*/ta/man/translate/figs-ellipsis	וְ⁠נוֹטֵ֥ר ה֖וּא לְ⁠אֹיְבָֽי⁠ו	1	The author is leaving out some of the words that in many languages a sentence would need in order to be complete. You could supply **wrath** from earlier in the sentence if it would be clearer in your language. Alternate translation: [and he maintains wrath against his enemies]
1:3	ab89		rc://*/ta/man/translate/figs-idiom	אֶ֤רֶךְ אַפַּ֨יִם֙	1	Here, **long of nostrils** is an idiom that means “slow to become angry.” If this phrase does not have that meaning in your language, you could use an idiom from your language that does have that meaning or state the meaning plainly. Alternate translation: [is patient] or [is slow to anger]
1:3	ac12		rc://*/ta/man/translate/figs-abstractnouns	ו⁠גדול־כֹּ֔חַ	1	If your language does not use an abstract noun for the idea of **power**, you could express the same idea in another way. Alternate translation: [and very strong] or [and very mighty]
